,text,category
66839,Police disperse Bobi Wine supporters in Jinja https://bit.ly/2W8WA1Q:=:https://www.monitor.co.ug/News/National/Police-disperse-Bobi-Wine-supporters-in-Jinja/688334-5591690-p7arlsz/index.html #MonitorUpdates,
66842,Wheelchair-bound Ouma becomes voice of PWDs https://zionly.io/ahWSqnn:=:https://www.monitor.co.ug/SpecialReports/Wheelchair-bound-Ouma-becomes-voice-of-PWDs/688342-5591548-9cjlwrz/index.html #MonitorUpdates,
66844,"Traders, who have been plying their trade in Nyamityobora Market in Mbarara, are counting losses after their market was gutted by the fire this morning, destroying virtually everything. #NTVNews",
66867,National Drug Authority has impounded hundreds of cartons of drugs and other pharmaceutical products in an operation that covered several districts of the Busoga Subregion. #NTVNews,
66870,Distorted youths...and.the leader of Uganda is quiet and continues to pass on bibasa. Hmmmm...and you want Ugandans to give you more 5 years? Let the volcano lying asleep wake up and sweep these thugs and bandits!!!! UGANDANS WAKE UP!!!,
66880,"""OOooohh Noooo who wanna feed us in This Quarantine??"" we are free now!",
66890,"⚽️ #NORWICH DROP TO CHAMPIONSHIP Four-goal-star Michail Antonio's brilliance condemned The Canaries to a record fifth relegation on Saturday, with three games to spare. | #VisionSports 👇🏽 https://newvisionapp.page.link/iL3awdH9mr9Zd1rQA:=:https://newvisionapp.com/1170",
66896,Why women are not breaking the glass ceiling on open seats #MonitorUpdates,
66916,[https://mknewslink.com/bushenyi-ishaka-municipality-aspiring-mp-marvin-baryaruha-donates-learning-materials-worth-6-million/](https://mknewslink.com/bushenyi-ishaka-municipality-aspiring-mp-marvin-baryaruha-donates-learning-materials-worth-6-million/),
66938,[https://mknewslink.com/rdc-nandinda-on-fire-for-failing-to-hold-covid-19-weekly-meetings/](https://mknewslink.com/rdc-nandinda-on-fire-for-failing-to-hold-covid-19-weekly-meetings/),
66958,"Seven new Covid-19 infections recorded as cases rise to 1,013. As several Ugandans continue to ignore measures initiated to contain the spread of the virus, health experts warn that it's just a matter of time before the country experiences the worst https://bit.ly/2W8MMVL:=:https://www.monitor.co.ug/News/National/Seven-new-Covid-19-infections-recorded-as-cases-rise-1013/688334-5591562-ujeic5/index.html #MonitorUpdates",
66964,"A decade since blasts snatched joy, life from Fifa WC final revellers https://bit.ly/3efXBeR:=:https://www.monitor.co.ug/Sports/Soccer/decade-since-blasts-snatched-joy-life-Fifa-WC-final-revellers/690266-5591520-yiyf8vz/index.html #MonitorUpdates",
66974,UNDERSTANDING THE BLACK WALL STREET AND REDIRECT MALL. ,
66996,"Mafias are after my life, says Bryan White https://zionly.io/FltwUhK:=:https://www.monitor.co.ug/News/National/Mafias-are-after-my-life--says-Bryan-White/688334-5591510-155p9sy/index.html #MonitorUpdates",
67019,K,
67032,Y,
67034,"POINT BLANK: Pastors in sackcloth, Nnyanzi charged with being a nuisance #NTVNews",
67035,Justice served,
67039,WILL GHISLAINE MAXWELL RAT ON PRINCE ANDREW AND DONALD TRUMP?,
67040,KATANDIKA BUTANDISI E JINJA >> ,
67042,THIS IS FOR US ALL. What lessons do we get from this video as Ugandans? The vide will take long but Uganda has been un earthened .,
67048,Socialite Brian Kirumira says Mafias are after him following his closeness to President Museveni #MonitorUpdates,
67058,"President Museveni has said his government under NRM will continue to provide young people with education, skills, jobs and healthcare so that they can be gainfully employed, save and invest so that they become the engine of economic growth https://bit.ly/2W8J6mW:=:https://www.monitor.co.ug/News/National/Govt-will-continue-prioritising-issues-Ugandan-youth-Museveni/688334-5591492-nexx3q/index.html #MonitorUpdates",
67060,So the LDUs are on a mission 😳😭😭😡,
67064,Pakistan overtakes Uganda as top Kenyan goods buyer https://bit.ly/2W8gQRi:=:https://www.monitor.co.ug/Business/Markets/Pakistan-overtakes-Uganda-top-Kenyan-goods-buyer/688606-5591460-o3rdun/index.html #MonitorUpdates,
67069,"If Magogo feels threatened, resorting to personal abuses won’t ease the burden https://bit.ly/2BZPEgF:=:https://www.monitor.co.ug/Magazines/Score/Magogo-feels-threatened-personal-abuses-won-t-ease-burden/689854-5591156-td3nsh/index.html #MonitorUpdates",
67071,Uganda: Hon. Robert Kyagulanyi Sentamu known as Bobi Wine has been brutally arrested from Radio Station in Jinja Town. #EnoughIsEnough #KaseeseMassacre #PeoplePower #MusevenMustGo,
67092,I call it a talent,
67094,Why is MTN ashamed of using Acholi to address residents of Gulu but prefers another dialect?,
67107,https://youtu.be/UqwLgDrftxg,
67113,"Let's help my friend. *#kyle* He featured in the BIG BROTHER AFRICA way back and now has this great chance to return to airwaves, My request is u *click on that Facebook link, then u go on that number #33 u like comment and share, as many times as u can..* And if u use Twitter, u comment, like .... There u will have voted Voting is #33. *Thank u so much* https://www.facebook.com/269609989735461/posts/3647120278651065/?app=fbl",
67152,Credential Twongelemu Oba Kyekyo?,
67168,Standard operating procedures for schools are wanting!,
67170,"""The challenge we are now addressing is 68% of households which are still stuck in the subsistence economy,"" says President Museveni. #VisionUpdates https://newvisionapp.page.link/NkSrjcey4J2oAwkL6:=:https://newvisionapp.com/1157",
67171,CALLING RWANDANS WESTERNERS IS PROMOTING M7S DIVIDE AND RULE POLITICS BY PITYING WESTERNERS AGAINST OTHER Ugandan TRIBES YET ITS RWANDANS REAPING FROM US 95% of people posing as westerners in M7s government are Rwandese MUZUKUKE,
67172,600 vendors count losses after fire burns Nyamityobora market in Mbarara https://bit.ly/2C2JVGN:=:https://www.monitor.co.ug/News/National/600-vendors-count-losses-fire-burns-Nyamityobora-market-Mbarara/688334-5591450-6d76ps/index.html #MonitorUpdates,
67201,POLIISI YENYODE NABAWAGIZI BA BOBI WINE E JINJA MU BUSOGA OKUZA EMBEERA MU NTEEKO NGA WAAA!! > 👇👇 https://youtu.be/yXXLsIFrW-k 👇👇,
67239,Champions League draw throws up possible Barcelona-Bayern clash in Lisbon https://bit.ly/2ZleZKZ:=:https://www.monitor.co.ug/Sports/Soccer/Champions-League-Barcelona-Bayern-clash-Lisbon/690266-5591446-10osrxiz/index.html #MonitorUpdates,
67242,[https://mknewslink.com/my-supporters-are-disciplined-didnt-burn-councillors-car-sheema-municipality-mp-hopeful-kateshumbwa/](https://mknewslink.com/my-supporters-are-disciplined-didnt-burn-councillors-car-sheema-municipality-mp-hopeful-kateshumbwa/),
67265,NRMO hypocrisy as usual. https://www.facebook.com/365047033674372/posts/1615405815305148/?app=fbl,
67269,EKIRI E JINJA KIKAMBWE BOBI WINE ABASAZEEKO > 👇👇 ,
67280,"After paying the 100 million US Dollars government required, the pen has been put to paper to officially seal the deal between MTN and Uganda Communications Commission. #NTVNews",
67287,https://www.facebook.com/102616044852623/posts/112155110565383/?app=fbl,
67292,#M7MustGo #M7MustGo,
67301,mission 2021,
67304,"Makerere University’s St. Augustine's chapel has released the CCTV footage of events that occurred just before former student Emmanuel Tegu was severely assaulted, which resulted in his death #NTVNews",
67305,"Malawi President Lazarus Chakwera has fired back at critics over the choice of his maiden cabinet which they said was tainted by family ties, insisting that the appointments were based purely on merit https://bit.ly/3iSuKkc:=:https://www.monitor.co.ug/News/World/Malawi-president-defends-cabinet-appointments-after-backlash/688340-5591434-uynttb/index.html #MonitorUpdates",
67334,HE RKS BOBI WINE IS LIVE ON NBS,
67341,Gunshots rocked a residential area in Kikaaya zone in Kampala’s Kawempe division early Friday morning in an exchange between persons who witnesses identified as Uganda People’s Defense Forces personnel.� #NTVNews,
67349,Bobiwine the president live,
67359,https://www.facebook.com/109657110760948/posts/154713442921981/?app=fbl,
67368,"🔥 TOUGHER TIMES AHEAD As the lockdown continues to bite, the situation has worsened for traders of Nyamityobora Daily Market, who have lost their merchandise in a #Saturday morning blaze. 😢 | #VisionUpdates 👇🏽 https://newvisionapp.page.link/o1TtXxUqnb1qciwJ8:=:https://newvisionapp.com/1156",
67375,https://www.facebook.com/ladslaundromat/ Mobile laundry anywhere around kampala,
67387,Follow the page,
67393,https://www.facebook.com/109657110760948/posts/154713442921981/?app=fbl,
67399,Government unveils Shs165b poverty eradication scheme https://bit.ly/3gOXJUj:=:https://www.monitor.co.ug/News/National/Government-unveils-Shs165b-poverty-eradication-scheme/688334-5591234-8uhjru/index.html #MonitorUpdates,
67415,"Kasokoso in Kira Municipality, Wakiso district, arrested the area member of parliament Ibrahim Semujju Nganda and two other members of the Forum for Democratic Charge party. #NTVNews",
67416,"Emboko yo ejja kunyoka ...Obulamu obwo bwebwatufula ""true African children"" Bakiyita Ggogolo. God loves children,imagine we never suffered fatal accidents neither did the touching of soil caused ailment. For example I grew in my maternal jaaja's place and we were over twenty Children however for the two decades we stayed together non of us was ever admitted in hospital,put on the drip...Malaria was treated with taking a bath with cold water mixed with embombo, and other herbs, after you will be made to take half a litter syrup of Mululuza, then jaaja would quickly boil matooke ( My jaaja would say a mumubandagizeyo eminnwe gy'amatooke Enna) seasoned with small tomatoes and a few leaves of Ddodo which grew on their own in banana plantation. After bathing, drinking the sour home made sryup and told to take a nap.....you would wakeup two to three hours later to play ...treated for malaria,recovered and discharged, period!",
67428,Sorry ba dear. 😥😥,
67438,The counter Terrorism police is calling upon all Ugandans to stay vigilant as the country commemorates the tenth anniversary since two terrorist attacks were carried out at Kyadondo Rugby club Lugogo and the Ethiopian village restaurant #NTVNews,
67440,"The World Health Organization has urged countries grappling with coronavirus to step up control measures, saying it is still possible to rein it in, as some nations clamp fresh restrictions on citizens https://bit.ly/327s0JG:=:https://www.monitor.co.ug/News/National/WHO-urges-aggressive-virus-measures-flare-ups-spark-new-closures/688334-5591424-jwe5w7z/index.html #MonitorUpdates",
67461,Is brutality part of the forces SOPs? https://twitter.com/SolomonSerwanjj/status/1281141578384498688?s=08 #StopForcesBrutality,
67474,"The chairperson of the Inter-Party Organization for Dialogue, Asuman Basalirwa says they are considering challenging the regulations passed by parliament to clear the way for the virtual campaign in court. #NTVNews",
67491,"Mali protesters occupy state TV, Radio, demand resignation of 75 year old President over #corruption, electoral malpractice Demonstrators on Friday blocked main thoroughfares, attacked the parliament and stormed the premises of the state broadcaster. Video taken shows a crowd of demonstrators estimated at tens of thousands assembled outside the national assembly building, demanding that 75 year old president Keita step down..... http://newz.ug/mali-protesters-occupy-state-tv-radio-demand-resignation-of-75-year-old-president-over-corruption-electoral-malpractice/",
67512,The Ministry of Education will add Kasese district to the list of hard to reach areas within the country. #NTVNews,
67538,The restrictions put in place to curb the spread of the COVID-19 pandemic have led to an increase in teenage pregnancies among adolescent girls and young women.� #NTVNews,
67577,"FUFA, ex-internationals hold a consultative meeting #NTVNews",
67589,How mobile money performed during March-May lockdown https://bit.ly/2W61hta:=:https://www.monitor.co.ug/Business/Technology/How-mobile-money-performed-during-March-May-lockdown-/688612-5591258-e6hvv3/index.html #MonitorUpdates,
67611,Beer firm ordered to pay URA Shs9.7b https://bit.ly/3egd4LK:=:https://www.monitor.co.ug/Business/Finance/Beer-firm--ordered-pay-URA-Shs9-7b-/688608-5591272-fgmm7z/index.html #MonitorUpdates,
67613,ZUNGULU: Abasumba basazeeyo kwambala makutiya olw'amasinzizzo okuggala #NTVNews https://zionly.io/5GlNZZC?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/features/Gavumenti-eteereddwako-akazito-ku-nsonga-z-omuggalo/4545218-5591356-qub0q5/index.html,
67616,Abamu ku b’oludda oluvuganya bakyakukkuluma ku kalulu 2021 #NTVNews https://zionly.io/GwMy7e4?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Abamu-ku-b-oludda-oluvuganya-bakyakukkuluma-ku-kalulu-2021/4542248-5591350-vc74b6/index.html,
67619,OKUJJUKIRA BBOMU ZA 2010; Ab’ebyokwerinda basabye abantu okuba obulindaala #NTVNews https://zionly.io/zAVEq7x?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Ab-ebyokwerinda-basabye-abantu-okuba-obulindaala--/4542248-5591354-cnd1k1/index.html,
67624,Akakiiko k’eddembe ly’obuntu obutaba na ssentebe kisannyalazza emirimu #NTVNews https://zionly.io/MIXcluR?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Akakiiko-k-eddembe--ly-obuntu-obutaba-na-ssentebe/4542248-5591352-f65qa1z/index.html,
67627,Abasirikale baakuvunaanibwa ku yeeyokya omuliro e Masaka #NTVNews https://zionly.io/cYOT3tp?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Abasirikale-baakuvunaanibwa-ku-yeeyokya-omuliro-e-Masaka/4542248-5591348-11o00wbz/index.html,
67629,AMASASI E KIKAAYA: Ebyabaddewo bikyatankanibwa; amagye teganyega #NTVNews https://zionly.io/h66nFHq?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Ebyabaddewo-bikyatankanibwa--amagye-teganyega/4542248-5591344-knojgn/index.html,
67632,What the World Health Organization does.,
67634,Poliisi erinnye eggere mu lukungaana lw’omubaka wa munisipaali ye Kira Ibrahim Ssemujju Nganda lw’abadde akubye e Kasokokoso era nga gyebigweredde ng'akwatiddwa n'abantu abalala babbiri.� #NTVNews https://zionly.io/Nx8o47O?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Ttiiyaggaasi-anyoose-e-kasokoso--omubaka-Nganda-akwatiddwa/4542248-5591342-w6vwmg/index.html,
67635,Think About It,
67636,You and I shall remembered As change our country Uganda,
67645,"Wooww It is fantastic .. ..unexpected tlc tyra - OMG ... Oklahoma Highway Patrol Performed Pit On Pursuit Vehicle, But Watch What Happens - Chase Police #amazingvideos",
67662,WELCOME TO THE LEGAL JUNGLE OF MISSION 2021 REVOLUTION: People Power Should Proceed With The Scientific Elections With Caution In Order To Legitimize Our Military Intervention Strategy To Prevent Any Election Malpractice By M7 And His NRM? Tampering With The Election Process Remains The Main Trigger For The Military Action By The U.F.D.F. The People Power Movement Has Reached A Point Of No Return With Or Without Bobi Wine. Yoweri Museveni And His NRM Gang Of Thieves Will Face Real Justice By Ballot Or By Bullet Mission 2021!,
67709,"😂😂😂 mbu science ticket, nkoko down, Corona coffee",
67737,Gunshots rocked a residential area in Kikaaya zone in Kampala’s Kawempe division early Friday morning in an exchange between persons who witnesses identified as Uganda People’s Defense Forces personnel.� #NTVNews https://zionly.io/SQ9ZF3I?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/national/Residents-scared-as-bullets-fly-during-raid/4522324-5591364-slnpdx/index.html,
67743,"Kasokoso in Kira Municipality, Wakiso district, arrested the area member of parliament Ibrahim Semujju Nganda and two other members of the Forum for Democratic Charge party. #NTVNews",
67747,Proud of your beauty,
67755,The counter Terrorism police is calling upon all Ugandans to stay vigilant as the country commemorates the tenth anniversary since two terrorist attacks were carried out at Kyadondo Rugby club Lugogo and the Ethiopian village restaurant both in Kampala� #NTVNews,
67775,More Museveni more development,
67776,The restrictions put in place to curb the spread of the COVID-19 pandemic have led to an increase in teenage pregnancies among adolescent girls and young women.� #NTVNews,
67786,Listen to what world health organisation say about uganda 🇺🇬,
67800,Producer Diggy Buar Alayidde atleast okuffa > 👇 https://youtu.be/rDAkYse3vks 👇,
67836,Open our churches,
67849,https://www.facebook.com/www.bobiwine.ug/videos/291707222241901/?t=38,
67876,"Share your thoughts, and you may like our page, but also on Twitter @stamon256.",
67889,Zari the Boss Lady: Mbagambye Bobi Wine tasaana kubeera president wa Uganda gw'ekinyiizizza ajje ankube ntudde wano e Kayunga!.............,
67893,We need this courage in Uganda to dislodge Museveni.,
67899,Who will psych-evaluate security? https://bit.ly/2CmpSmI:=:https://www.monitor.co.ug/OpEd/Commentary/Who-will-psych-evaluate-security-/689364-5591302-j2b62h/index.html #MonitorUpdates,
67901,Like page and support us,
67907,ZUNGULU: Abasumba basazeeyo kwambala makutiya olw'amasinzizzo okuggala #NTVNews,
67911,Abamu ku b’oludda oluvuganya bakyakukkuluma ku kalulu 2021 #NTVNews,
67917,OKUJJUKIRA BBOMU ZA 2010; Ab’ebyokwerinda basabye abantu okuba obulindaala #NTVNews,
67934,VIDEO: Footage of security personnel torturing Makerere university student released ,
67942,Akakiiko k’eddembe ly’obuntu obutaba na ssentebe kisannyalazza emirimu #NTVNews,
67953,Market witnesses very low appetite for the hard currency- demand to fall further The market witnessed very low appetite for the hard currency as economic activity remained subdued. The bid and ask quotes held at....read more.. http://newz.ug/market-witnesses-very-low-appetite-for-the-hard-currency-demand-to-fall-further/,
67959,Abasirikale baakuvunaanibwa ku yeeyokya omuliro e Masaka #NTVNews,
67968,AMASASI E KIKAAYA: Ebyabaddewo bikyatankanibwa; amagye teganyega #NTVNews,
67977,Is Covid creating human rights crisis in Uganda? https://bit.ly/2Do3LN2:=:https://www.monitor.co.ug/OpEd/Commentary/Is-Covid-creating-human-rights-crisis-in-Uganda-/689364-5591304-qemrslz/index.html #MonitorUpdates,
67983,https://youtu.be/rSwEnQZQ_L0,
67989,Poliisi erinnye eggere mu lukungaana lw’omubaka wa munisipaali ye Kira Ibrahim Ssemujju Nganda lw’abadde akubye e Kasokokoso era nga gyebigweredde ng'akwatiddwa n'abantu abalala babbiri.� #NTVNews,
67993,Episode 25 is another spotlight zooming on a pastor in busoga quit embarrassing in #ugandaisamovie,
67998,SAFE HOUSES ZISALIDDWAKO,
68044,Fresh blood for smart cassava 😎,
68061,When we look back in episode 22 of #tegu it was just have in the #ugandaisamovie #tegunjusticemustprevail #blacklivesmatter #ugandanslivesmatter Credit NtvUganda St.augustinechurch-mass Sudhir Byaruhanga,
68069,Why election roadmap is raising storm https://bit.ly/3ftaeUY:=:https://www.monitor.co.ug/OpEd/Letters/Why-election-roadmap-raising-storm/806314-5591308-hdbxdm/index.html #MonitorUpdates,
68073,TELL THE BEARDED MULLAHS OF IRAN TO SET YASAMAN FREE. WOMEN HAVE A RIGHT TO DRESS AS THEY WANT.,
68094,#Church #Buildings are open 24/7 what was closed is #Church #Assembling,
68100,LDU's stopped from daily operations,
68102,Why is Monitor bothered about who is building new mosques? https://bit.ly/2W6jaYQ:=:https://www.monitor.co.ug/OpEd/Commentary/Why-is-Monitor-bothered-about-who-is-building-new-mosques-/689364-5591300-j3g99l/index.html #MonitorUpdates,
68108,Employers must know the legal implications of salary deductions https://bit.ly/2ARjpQk:=:https://www.monitor.co.ug/OpEd/Commentary/Employers-must-know-the-legal-implications-of-salary-deductions/689364-5591292-t44b07/index.html #MonitorUpdates,
68115,"The circumstances under which Emmanuel Tegu, a third year Veterinary student of Makerere University, met his end has thrust police deeper into the abyss of a failed community liaison role. Like a standard narrative, police first alleged in a statement that the deceased was a suspected thief beaten up by a mob https://bit.ly/3egp2oE:=:https://www.monitor.co.ug/OpEd/Editorial/Police-should-step-up-its-community-liaison-role-/689360-5591288-14wgt8vz/index.html #MonitorUpdates",
68134,Police release CCTV footage of Emmanuel Tegu's death.,
68140,TRUMP TO GO BACK TO SCHOOL TO SIT SUPERVISED SCHOOL EXAMS. HIS CURRENT CERTIFICATES ARE INVALID AS HE PAID OTHER PEOPLE TO DO THE EXAMS FOR HIM. EXAMS REGULATIONS IN THE USA DO NOT PERMIT CANDIDATES TO HIRE PROFESSIONAL EXAMS TAKERS TO SIT THE EXAMS FOR THEM.,
68145,Gunshots rocked a residential area in Kisaasi early Friday morning in an exchange between Uganda People’s Defense Forces personnel. #NTVNews,
68161,"Uganda our jajja maazalandi what next.France, Italy bra bra clear now",
68163,KIWEDDE: Chameloeone Alazze Credentials Za Bobi Wine Zonna ZARI nga bweyazisaba. >> 👇👇 https://youtu.be/Ok8HKZ77aD8 👇👇<,
68169,https://youtu.be/-HyhEzXHaQw,
68172,"ICYMI: Valentino Richard Kabenge talks about dance and how it can be used as therapy for mental and physical stress. Watch to find out how his ""Dance With Valentino"" therapy session has helped others #NTVNews",
68178,K,
68182,Is applying for a frequently re-advertised job a waste of time? https://zionly.io/Qzp60TV:=:https://www.monitor.co.ug/Magazines/Jobs-Career/Is-applying-for-a-frequently-re-advertised-job-a-waste-of-time-/689848-5590676-cax2tiz/index.html #MonitorUpdates,
68185,A pressure group called people power endorsing candidates sijuyi people are picking nomination forms. Why don't you guys register your thing as a political party? Wabula ebintu byamwe bya kito ddala.,
68187,Parties gear up for special interest group elections https://bit.ly/2W5Z94E:=:https://www.monitor.co.ug/Elections/Parties-gear-up-special-interest-group-elections/2787154-5591226-7u9y0t/index.html #MonitorUpdates,
68195,https://mknewslink.com/nwsc-board-chairman-officially-bides-farewell-to-greater-bushenyi-water-area/,
68196,"Distribution of mosquito nets has kicked off with training in the 20 districts of Uganda, especially those with a high rate of malaria prevalence. #NTVNews",
68197,Y,
68208,https://trumpetnews.co.ug/investigation-inside-ura-syndicate-that-is-costing-government-tax-collections/amp/,
68214,Why advertise a job already ring-fenced for an internal person? https://zionly.io/6LuEDcm:=:https://www.monitor.co.ug/Magazines/Jobs-Career/Why-advertise-a-job-already-ring-fenced-for-an-internal-person-/689848-5590674-m8c30dz/index.html #MonitorUpdates,
68215,Parliament has started processing the anti-slavery bill aimed at criminalizing all acts that related to modern-day slavery #NTVNews,
68217,ISO boss flees office as probe zeroes down on him,
68230,Level,
68232,Enanga narrates how Tegu was brutally murdered as eight suspected killers are released,
68237,"Crysto Panda shared, on #MorningAtNTV, how he has managed to balance life, TV hosting and Music. Watch to find out more about his successes and challenges #NTVNews",
68238,U can’t own everything in the land.,
68243,How can I deliver negative feedback fairly and effectively? https://zionly.io/OohehS2:=:https://www.monitor.co.ug/Magazines/Jobs-Career/How-can-I-deliver-negative-feedback-fairly-and-effectively-/689848-5590672-eicnitz/index.html #MonitorUpdates,
68245,"Ahaa...1,2 let's GO👈👈👈if you know, you know🙂",
68249,The district of Adjumani is set to benefit from a donor-funded project #NTVNews,
68251,Vote Kyagulanyi SSENTAMU Robert for better Uganda.,
68255,"Kampala Woman MP Aspirant Nyanzi Charged With Common Nuisance, Released On Bail",
68271,Dealing with rejection during the job hunt https://zionly.io/eejPwgL:=:https://www.monitor.co.ug/Magazines/Jobs-Career/Dealing-with-rejection-during-the-job-hunt/689848-5590666-jocov3/index.html #MonitorUpdates,
68272,"President Yoweri Museveni has concluded discussions with the Omukama of Tooro, Oyo Nyimba Kabamba Iguru Rukidi IV. #NTVNews",
68277,The movie actor in #ugandaisamovie will be exposed at the end of this èpisode 25 that is loading...... happily waiting,
68282,Credential holders...LISTEN👈👈👈,
68298,[https://youtu.be/rSwEnQZQ_L0](https://youtu.be/rSwEnQZQ_L0?fbclid=IwAR22yWyJDNfNMcSGcaYWGF8EjfRiWdnMGzfohYK5NMvpiP_9ANpjlJNikuM),
68299,"Over 10 leaders make U-turn, vow to run again in 2021 polls https://zionly.io/nILR7kZ:=:https://www.monitor.co.ug/News/National/Over-10-leaders-make-U-turn-vow-run-again-2021-polls/688334-5591176-n5d4ixz/index.html #MonitorUpdates",
68300,ICYMI: Many Ugandans have become increasingly dependent as a result of the restrictions put in place to combat COVID-19 over the last 3 months. We had Marie Nanyanzi the program Manager for Sauti Za Wanaichi at Twaweza to speak to us about this on #MorningAtNTV,
68304,FDC asks presidential aspirants to show interest https://bit.ly/2VZXiOX:=:https://www.monitor.co.ug/Elections/FDC-asks-presidential-aspirants-show-interest/2787154-5591190-mh1dwoz/index.html #MonitorUpdates,
68307,"PALAWAN, PHILIPPINES - BEST ISLAND IN THE WORLD.",
68308,Farmers stuck with sugarcane https://zionly.io/cmFGMqG:=:https://www.monitor.co.ug/News/National/Farmers-stuck-with-sugarcane/688334-5591168-sb8x0g/index.html #MonitorUpdates,
68314,Police in Kalungu district have been deployed to guard Bwanda convent after unknown robbers broke into the convent last night and attacked the nuns. #NTVNews,
68317,"USEVENI Regime are hiding the true Covid 19 death in Uganda. Time for accountability! There are suggestions that thousands of Ugandans have perished but the Museveni government has made sure that the deaths are registered as being the result of anything else but Covid 19. So we have Ugandan citizens being certified as dying of usual acute respiratory diseases, etc, without any chance of cross-checking if they died of Covid 19. The truth will emerge. It is a matter of time. The Struggle Continues",
68334,WELCOME TO THE LEGAL JUNGLE OF MISSION 2021 REVOLUTION: People Power Should Proceed With The Scientific Elections With Caution In Order To Legitimize Our Military Intervention Strategy To Prevent Any Election Malpractice By M7 And His NRM? Tampering With The Election Process Remains The Main Trigger For The Military Action By The U.F.D.F. The People Power Movement Has Reached A Point Of No Return With Or Without Bobi Wine. Museveni Must Face Real Justice! https://www.facebook.com/SalttelevisionUganda/videos/606066306956239/?t=95,
68341,Government through the ministry of microfinance will provide up to give 30 million shillings in start-up capital to local saving groups as a away of supporting welfare for low-income earners #NTVNews,
68354,"“A Missing Plane From 1955 Landed After 37 Years, Here’s What Happened (Myth)” by Oduse David Oluwadamilola ",
68367,Its time Africa needs to arise,
68368,Kitalo,
68376,✍✍👌👌,
68381,Someone help her settle this matter please 🤦🏽‍♀️🤦🏽‍♀️,
68392,Our nation calls,
68406,Nyanzi and two others were arrested while holding a demonstration with placards that had inscriptions calling for the lifting of the COVID-19 lockdown.,
68408,"Security raids ISO safe houses, arrests operatives, detainees",
68410,Nyanzi and two others were arrested while holding a demonstration with placards that had inscriptions calling for the lifting of the COVID-19 lockdown.,
68418,Vote Kyagulanyi SSENTAMU Robert for better Uganda.,
68436,The Ministry of Finance has started the process to eliminate paper documents and files in its operations through the launch of the Electronic Content Management platform #NTVNews,
68437,WELCOME TO THE LEGAL JUNGLE OF MISSION 2021 REVOLUTION: People Power Should Proceed With The Scientific Elections With Caution In Order To Legitimize Our Military Intervention Strategy To Prevent Any Election Malpractice By M7 And His NRM? Tampering With The Election Process Remains The Main Trigger For The Military Action By The U.F.D.F. The People Power Movement Has Reached A Point Of No Return With Or Without Bobi Wine. Museveni Must Face Real Justice! https://www.facebook.com/Kaddugala/videos/286601162555482/?t=4,
68442,NTV At One | ntv.co.ug,
68469,Uganda’s ranks 2nd in Africa and 56th in the world in as far as openness of its budget and related processes are concerned according to Findings in the Open Budget Survey 2019 #NTVNews,
68478,Imagine bruising a woman's body to this level and the offence is lifting a chart with an appeal to reconsider the Government's Covd19 policy on trading in Arcades...A peaceful non violent demostration by just a few women. #MujoogaNnyo,
68482,KCCA FC officials have attended a FUFA Club Licensing Pro Agenda programme at FUFA House. This as preparations continue to be ramped up ahead of the tentative start of the new topflight league season on 17th October #NTVNews,
68485,Banks meet over high interest rates on loans https://bit.ly/2W60RmK:=:https://www.monitor.co.ug/Business/Finance/Banks-meet-over-high-interest-rates-loans/688608-5591060-90okvcz/index.html #MonitorUpdates,
68497,"Kisenyi slum is a large settlement in the heart of Kampala. Once branded a hub of criminals, Kisenyi has transformed over the years attracting investors and residents #NTVNews More 👉",
68501,"ockdown protests: Dr Nyanzi, two businessmen bailed https://bit.ly/3feBZ3O:=:https://www.monitor.co.ug/News/National/COVID19-protests-Dr-Nyanzi-two-businessmen-bailed-FDC/688334-5591064-enwnwiz/index.html #MonitorUpdates",
68509,No concern about economy?,
68512,Graves dug for coronavirus victims spook South Africans #NTVNews Health officials in the country's most-populated province said they were ready to bury more than a million people. Read more 👉 https://zionly.io/SA-COVID-graves:=:https://www.ntv.co.ug/news/international/Graves-dug-for-coronavirus/4522060-5591046-c114x7z/index.html,
68515,"Environment State Minister, Beatrice Anywar has expressed concern at the large scale destruction in Bugoma Central Forest Reserve in Kikuube District #NTVNews",
68516,Uganda Development Bank partners with NMG https://bit.ly/3eaPAHW:=:https://www.monitor.co.ug/News/National/Uganda-Development-Bank-partners-with-NMG/688334-5591032-vumt6xz/index.html #MonitorUpdates,
68520,Weeeee,
68525,"8 remanded over plot to kill minister, family https://bit.ly/3gHFeRx:=:https://www.monitor.co.ug/News/National/-8-remanded-over-plot-kill-minister-family/688334-5591010-vgwljuz/index.html #MonitorUpdates",
